Titles,Links,Times
"Уехавший из России бывший ведущий Первого канала «растворился» в Израиле","https://lenta.ru/news/2026/06/15/uehavshiy-iz-rossii-byvshiy-veduschiy-pervogo-kanala-rastvorilsya-v-izraile/","15:17"
"В России отреагировали на план о включении участников СВО в черный список ЕС","https://lenta.ru/news/2026/06/15/v-rossii-otreagirovali-na-plan-o-vklyuchenii-uchastnikov-svo-v-chernyy-spisok-es/","15:14"
"В одной стране пошел рыбий дождь","https://lenta.ru/news/2026/06/15/v-odnoy-strane-poshel-rybiy-dozhd/","15:12"
"В России оценили шансы Украины и Молдавии вступить в Евросоюз","https://lenta.ru/news/2026/06/15/v-rossii-otsenili-shansy-ukrainy-i-moldavii-vstupit-v-evrosoyuz/","15:11"
"В Подмосковье спасли утенка","https://lenta.ruhttps://moslenta.ru/news/city/v-podmoskove-spasli-utenka-15-06-2026.htm","15:11"
"Пожар в Киево-Печерской лавре объяснили попыткой Украины отменить одно пророчество","https://lenta.ru/news/2026/06/15/-prorochestvo/","15:11"
"В Москве выпадет до половины месячной нормы осадков за неделю","https://lenta.ru/news/2026/06/15/v-moskve-vypadet-do-poloviny-normy-osadkov/","15:08"
"Найден способ защиты от болезней Альцгеймера и Паркинсона","https://lenta.ru/news/2026/06/15/nayden-sposob-zaschity-ot-bolezney-altsgeymera-i-parkinsona/","15:05"
"Внешность 14-летней дочери Кристины Орбакайте на видео описали фразой «берегитесь, парни»","https://lenta.ru/news/2026/06/15/vneshnost-14-letney-docheri-kristiny-orbakayte-na-video-opisali-frazoy-beregites-parni/","15:02"
"Пилот едва не ослеп от светового шоу в Белом доме в честь 80-летия Трампа","https://lenta.ru/news/2026/06/15/pilot-edva-ne-oslep-ot-svetovogo-shou-v-belom-dome-v-chest-80-letiya-trampa/","15:01"
"В российском городе из-за пожара многоэтажка столкнулась с угрозой обрушения","https://lenta.ru/news/2026/06/15/v-rossiyskom-gorode-iz-za-pozhara-mnogoetazhka-stolknulas-s-ugrozoy-obrusheniya/","15:01"
"Названы «самые адовые» точки массированного удара по Украине","https://lenta.ru/news/2026/06/15/nazvany-samye-adovye-tochki-massirovannogo-udara-po-ukraine/","15:00"
"Зеленский предложил Путину встречу на саммите G7","https://lenta.ru/news/2026/06/15/zelenskiy-predlozhil-putinu-vstrechu-na-sammite-g7/","14:36"
"Россияне бросились за наличными рублями","https://lenta.ru/news/2026/06/15/rossiyane-brosilis-za-nalichnymi-rublyami/","14:15"
"«Не могут выполнить свою задачу». Американская ракета Patriot упала, не догнав российский «Циркон»","https://lenta.ru/news/2026/06/15/ne-mogut-vypolnit-svoyu-zadachu-amerikanskaya-raketa-patriot-upala-ne-dognav-rossiyskiy-tsirkon/","14:10"
